color_code,MIN_zika,MAX_zika,RANGE_zika,MEAN_zika,MEDIAN_zika,PCT90_zika,MIN_dengue2015,MAX_dengue2015,RANGE_dengue2015,MEAN_dengue2015,MEDIAN_dengue2015,PCT90_dengue2015,MIN_dengue2050,MAX_dengue2050,RANGE_dengue2050,MEAN_dengue2050,MEDIAN_dengue2050,PCT90_dengue2050
SLV,0,0.991006911,0.991006911,0.823712241,0.87308839,0.917417449,0,0.9040218,0.9040218,0.74060848,0.781490713,0.835412812,0.37871167,0.920595185,0.541883515,0.759713502,0.791229991,0.835877971
KWT,0,0,0,0,0,0,0,0.546993375,0.546993375,0.001758839,0,0,0,0.423407027,0.423407027,0.001394433,0,0
BRN,0.058631651,0.974486828,0.915855177,0.348268332,0.252856135,0.687695032,0.657174647,0.963884473,0.306709826,0.866201769,0.871607482,0.909669071,0.61677004,0.965639881,0.348869841,0.8554527,0.858034939,0.911688099
CPV,0,0.054602657,0.054602657,0.007721558,0.007311944,0.020274962,0,0.992059886,0.992059886,0.660579256,0.79552725,0.989629495,0,0.988642374,0.988642374,0.68869679,0.812457759,0.987483525
ITA,0,0.354207426,0.354207426,8.5641910599e-05,0,0,0,0.830394208,0.830394208,0.050969627,0,0.135882005,0,0.831370551,0.831370551,0.065495894,0.04379689,0.151743147
IRN,0,0.782103837,0.782103837,0.000310433,0,0,0,0.983999491,0.983999491,0.118785632,0,0.448675245,0,0.986878476,0.986878476,0.122906031,0,0.445994381
ARE,0,0.735798478,0.735798478,0.017124541,0.008449536,0.008665927,0,0.953772545,0.953772545,0.529209049,0.601951212,0.675396508,0,0.931249025,0.931249025,0.452843029,0.507322503,0.609903355
SMR,0,0,0,0,0,0,0,0.04017593,0.04017593,0.013391977,0,0.032140744,0.039670489,0.078849374,0.039178885,0.053304987,0.041395097,0.071358518
ZMB,0,0.969207585,0.969207585,0.27592034,0.196100712,0.660447919,0,0.886736631,0.886736631,0.436337563,0.407262236,0.712396169,0,0.909631959,0.909631959,0.522272052,0.457977916,0.7721929
LVA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SYR,0,0.70366621,0.70366621,0.000539264,0,0,0,0.952365339,0.952365339,0.106013124,0.068364777,0.285555905,0,0.837744002,0.837744002,0.105445718,0.068523454,0.270801911
LKA,0,0.987382829,0.987382829,0.72088429,0.82578963,0.899644256,0,0.942235649,0.942235649,0.848262236,0.899153948,0.925544608,0,0.939728829,0.939728829,0.845856738,0.895130641,0.921837294
CMR,0,0.991202354,0.991202354,0.670278548,0.807872891,0.875860691,0,0.946596444,0.946596444,0.67425924,0.706760526,0.843457103,0,0.950155248,0.950155248,0.749001263,0.762343598,0.860729354
CHN,0,0.992691815,0.992691815,0.027345708,0,0,0,0.965613604,0.965613604,0.122819649,0,0.657130539,0,0.944388176,0.944388176,0.122568533,0,0.664459791
YEM,0,0.832316697,0.832316697,0.006365692,0.008659784,0.010187731,0,0.980668187,0.980668187,0.208092863,0,0.711141193,0,0.983577728,0.983577728,0.220421687,0,0.846058893
ESH,0,0.011735054,0.011735054,0.002042044,0,0.008655102,0,0.426575065,0.426575065,3.0875438959e-05,0,0,0,0.44627259,0.44627259,3.2301142889e-05,0,0
GRD,0,0.915915608,0.915915608,0.625333289,0.688742161,0.905761755,0.860409021,0.91239506,0.051986039,0.897142963,0.902629316,0.909647715,0.883844442,0.90746179,0.023617348,0.895306215,0.893275053,0.903707391
DOM,0,0.991145074,0.991145074,0.598966766,0.70740658,0.848568821,0,0.975711763,0.975711763,0.704442534,0.813565254,0.888192737,0,0.960116558,0.960116558,0.702459451,0.812687326,0.883102572
CRI,0,0.99110204,0.99110204,0.441115424,0.437221661,0.884774995,0,0.933199167,0.933199167,0.647930218,0.763528049,0.844282031,0,0.924822884,0.924822884,0.655038426,0.759754661,0.840679334
IDN,0,0.991514206,0.991514206,0.549443631,0.595445037,0.877375448,0,0.972549081,0.972549081,0.764269203,0.850724459,0.901996589,0,0.966829277,0.966829277,0.776249791,0.84537326,0.900952204
LIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FJI,0,0.85351485,0.85351485,0.413876486,0.430236861,0.699997902,0,0.923466623,0.923466623,0.81466632,0.84561348,0.873445344,0,0.910417974,0.910417974,0.800471059,0.834080996,0.877908572
MWI,0,0.982628226,0.982628226,0.189215307,0.151183471,0.557173997,0,0.900361598,0.900361598,0.422325557,0.395083338,0.750111675,0,0.930989311,0.930989311,0.466532918,0.426813914,0.790655447
XXX,0,0.825164914,0.825164914,0.007588609,0,0.01079518,0.044518676,0.786539912,0.742021237,0.193779361,0.124561731,0.381696957,0.060163736,0.795284191,0.735120455,0.215953912,0.133713035,0.42775153
PLW,0.047596704,0.140235662,0.092638958,0.084244664,0.08065667,0.132538909,0.823210776,0.859496713,0.036285937,0.850472948,0.856239259,0.858739281,0.791545808,0.822518703,0.030972895,0.807361425,0.806347483,0.818853074
